Task2 Results

Smoking Cues : avg time on cross - 133.875 ms avg time on image - 359.125 ms
Non Smoking Cues : avg time on cross - 127.5 ms avg time on image - 361.25 ms
Set 0 Image 0 : time on cross - 51 ms time on image - 357 ms
Set 0 Image 1 : time on cross - 0 ms time on image - 714 ms
Set 0 Image 2 : time on cross - 221 ms time on image - 459 ms
Set 0 Image 3 : time on cross - 85 ms time on image - 272 ms
Set 1 Image 0 : time on cross - 357 ms time on image - 408 ms
Set 1 Image 1 : time on cross - 408 ms time on image - 238 ms
Set 1 Image 2 : time on cross - 119 ms time on image - 272 ms
Set 1 Image 3 : time on cross - 170 ms time on image - 51 ms
Set 2 Image 0 : time on cross - 0 ms time on image - 374 ms
Set 2 Image 1 : time on cross - 170 ms time on image - 459 ms
Set 2 Image 2 : time on cross - 238 ms time on image - 510 ms
Set 2 Image 3 : time on cross - 187 ms time on image - 493 ms
Set 3 Image 0 : time on cross - 0 ms time on image - 323 ms
Set 3 Image 1 : time on cross - 85 ms time on image - 0 ms
Set 3 Image 2 : time on cross - 0 ms time on image - 391 ms
Set 3 Image 3 : time on cross - 0 ms time on image - 442 ms
