Task2 Results

Smoking Cues : avg time on cross - 250.75 ms avg time on image - 909.5 ms
Non Smoking Cues : avg time on cross - 170.0 ms avg time on image - 820.25 ms
Set 0 Image 0 : time on cross - 221 ms time on image - 850 ms
Set 0 Image 1 : time on cross - 289 ms time on image - 2652 ms
Set 0 Image 2 : time on cross - 0 ms time on image - 1360 ms
Set 0 Image 3 : time on cross - 0 ms time on image - 493 ms
Set 1 Image 0 : time on cross - 408 ms time on image - 391 ms
Set 1 Image 1 : time on cross - 408 ms time on image - 782 ms
Set 1 Image 2 : time on cross - 306 ms time on image - 238 ms
Set 1 Image 3 : time on cross - 136 ms time on image - 918 ms
Set 2 Image 0 : time on cross - 289 ms time on image - 663 ms
Set 2 Image 1 : time on cross - 323 ms time on image - 1275 ms
Set 2 Image 2 : time on cross - 187 ms time on image - 2006 ms
Set 2 Image 3 : time on cross - 374 ms time on image - 680 ms
Set 3 Image 0 : time on cross - 0 ms time on image - 0 ms
Set 3 Image 1 : time on cross - 68 ms time on image - 663 ms
Set 3 Image 2 : time on cross - 0 ms time on image - 459 ms
Set 3 Image 3 : time on cross - 357 ms time on image - 408 ms
