Task2 Results

Smoking Cues : avg time on cross - 374.0 ms avg time on image - 357.0 ms
Non Smoking Cues : avg time on cross - 518.5 ms avg time on image - 620.5 ms
Set 0 Image 0 : time on cross - 476 ms time on image - 561 ms
Set 0 Image 1 : time on cross - 357 ms time on image - 323 ms
Set 0 Image 2 : time on cross - 221 ms time on image - 204 ms
Set 0 Image 3 : time on cross - 782 ms time on image - 289 ms
Set 1 Image 0 : time on cross - 272 ms time on image - 544 ms
Set 1 Image 1 : time on cross - 374 ms time on image - 527 ms
Set 1 Image 2 : time on cross - 527 ms time on image - 2057 ms
Set 1 Image 3 : time on cross - 476 ms time on image - 595 ms
Set 2 Image 0 : time on cross - 340 ms time on image - 153 ms
Set 2 Image 1 : time on cross - 408 ms time on image - 442 ms
Set 2 Image 2 : time on cross - 442 ms time on image - 340 ms
Set 2 Image 3 : time on cross - 884 ms time on image - 51 ms
Set 3 Image 0 : time on cross - 289 ms time on image - 34 ms
Set 3 Image 1 : time on cross - 476 ms time on image - 272 ms
Set 3 Image 2 : time on cross - 340 ms time on image - 629 ms
Set 3 Image 3 : time on cross - 476 ms time on image - 799 ms
