Task2 Results

Smoking Cues : avg time on cross - 227.375 ms avg time on image - 348.5 ms
Non Smoking Cues : avg time on cross - 129.625 ms avg time on image - 361.25 ms
Set 0 Image 0 : time on cross - 1139 ms time on image - 510 ms
Set 0 Image 1 : time on cross - 51 ms time on image - 340 ms
Set 0 Image 2 : time on cross - 204 ms time on image - 612 ms
Set 0 Image 3 : time on cross - 544 ms time on image - 68 ms
Set 1 Image 0 : time on cross - 357 ms time on image - 119 ms
Set 1 Image 1 : time on cross - 0 ms time on image - 510 ms
Set 1 Image 2 : time on cross - 17 ms time on image - 442 ms
Set 1 Image 3 : time on cross - 0 ms time on image - 374 ms
Set 2 Image 0 : time on cross - 0 ms time on image - 408 ms
Set 2 Image 1 : time on cross - 34 ms time on image - 408 ms
Set 2 Image 2 : time on cross - 0 ms time on image - 459 ms
Set 2 Image 3 : time on cross - 0 ms time on image - 153 ms
Set 3 Image 0 : time on cross - 17 ms time on image - 391 ms
Set 3 Image 1 : time on cross - 221 ms time on image - 102 ms
Set 3 Image 2 : time on cross - 85 ms time on image - 425 ms
Set 3 Image 3 : time on cross - 187 ms time on image - 357 ms
