Task2 Results

Smoking Cues : avg time on cross - 278.375 ms avg time on image - 374.0 ms
Non Smoking Cues : avg time on cross - 250.75 ms avg time on image - 461.125 ms
Set 0 Image 0 : time on cross - 51 ms time on image - 510 ms
Set 0 Image 1 : time on cross - 476 ms time on image - 476 ms
Set 0 Image 2 : time on cross - 391 ms time on image - 816 ms
Set 0 Image 3 : time on cross - 510 ms time on image - 68 ms
Set 1 Image 0 : time on cross - 0 ms time on image - 595 ms
Set 1 Image 1 : time on cross - 68 ms time on image - 0 ms
Set 1 Image 2 : time on cross - 255 ms time on image - 459 ms
Set 1 Image 3 : time on cross - 0 ms time on image - 459 ms
Set 2 Image 0 : time on cross - 238 ms time on image - 578 ms
Set 2 Image 1 : time on cross - 17 ms time on image - 0 ms
Set 2 Image 2 : time on cross - 221 ms time on image - 510 ms
Set 2 Image 3 : time on cross - 204 ms time on image - 544 ms
Set 3 Image 0 : time on cross - 323 ms time on image - 510 ms
Set 3 Image 1 : time on cross - 1054 ms time on image - 323 ms
Set 3 Image 2 : time on cross - 170 ms time on image - 578 ms
Set 3 Image 3 : time on cross - 255 ms time on image - 255 ms
