Task2 Results

Smoking Cues : avg time on cross - 233.75 ms avg time on image - 452.625 ms
Non Smoking Cues : avg time on cross - 282.625 ms avg time on image - 522.75 ms
Set 0 Image 0 : time on cross - 306 ms time on image - 952 ms
Set 0 Image 1 : time on cross - 17 ms time on image - 340 ms
Set 0 Image 2 : time on cross - 255 ms time on image - 629 ms
Set 0 Image 3 : time on cross - 272 ms time on image - 697 ms
Set 1 Image 0 : time on cross - 204 ms time on image - 391 ms
Set 1 Image 1 : time on cross - 119 ms time on image - 646 ms
Set 1 Image 2 : time on cross - 408 ms time on image - 1003 ms
Set 1 Image 3 : time on cross - 238 ms time on image - 17 ms
Set 2 Image 0 : time on cross - 459 ms time on image - 34 ms
Set 2 Image 1 : time on cross - 340 ms time on image - 68 ms
Set 2 Image 2 : time on cross - 816 ms time on image - 68 ms
Set 2 Image 3 : time on cross - 136 ms time on image - 595 ms
Set 3 Image 0 : time on cross - 255 ms time on image - 884 ms
Set 3 Image 1 : time on cross - 170 ms time on image - 306 ms
Set 3 Image 2 : time on cross - 85 ms time on image - 442 ms
Set 3 Image 3 : time on cross - 51 ms time on image - 731 ms
