Task2 Results

Smoking Cues : avg time on cross - 646.0 ms avg time on image - 278.375 ms
Non Smoking Cues : avg time on cross - 796.875 ms avg time on image - 486.625 ms
Set 0 Image 0 : time on cross - 969 ms time on image - 119 ms
Set 0 Image 1 : time on cross - 1445 ms time on image - 119 ms
Set 0 Image 2 : time on cross - 1071 ms time on image - 510 ms
Set 0 Image 3 : time on cross - 952 ms time on image - 306 ms
Set 1 Image 0 : time on cross - 1054 ms time on image - 680 ms
Set 1 Image 1 : time on cross - 0 ms time on image - 527 ms
Set 1 Image 2 : time on cross - 1071 ms time on image - 408 ms
Set 1 Image 3 : time on cross - 1785 ms time on image - 799 ms
Set 2 Image 0 : time on cross - 357 ms time on image - 136 ms
Set 2 Image 1 : time on cross - 136 ms time on image - 102 ms
Set 2 Image 2 : time on cross - 0 ms time on image - 289 ms
Set 2 Image 3 : time on cross - 510 ms time on image - 561 ms
Set 3 Image 0 : time on cross - 901 ms time on image - 34 ms
Set 3 Image 1 : time on cross - 306 ms time on image - 510 ms
Set 3 Image 2 : time on cross - 646 ms time on image - 459 ms
Set 3 Image 3 : time on cross - 340 ms time on image - 561 ms
