Task2 Results

Smoking Cues : avg time on cross - 48.875 ms avg time on image - 229.5 ms
Non Smoking Cues : avg time on cross - 51.0 ms avg time on image - 293.25 ms
Set 0 Image 0 : time on cross - 0 ms time on image - 0 ms
Set 0 Image 1 : time on cross - 0 ms time on image - 0 ms
Set 0 Image 2 : time on cross - 0 ms time on image - 0 ms
Set 0 Image 3 : time on cross - 0 ms time on image - 0 ms
Set 1 Image 0 : time on cross - 0 ms time on image - 0 ms
Set 1 Image 1 : time on cross - 306 ms time on image - 612 ms
Set 1 Image 2 : time on cross - 323 ms time on image - 0 ms
Set 1 Image 3 : time on cross - 68 ms time on image - 1377 ms
Set 2 Image 0 : time on cross - 85 ms time on image - 629 ms
Set 2 Image 1 : time on cross - 0 ms time on image - 595 ms
Set 2 Image 2 : time on cross - 17 ms time on image - 663 ms
Set 2 Image 3 : time on cross - 0 ms time on image - 306 ms
Set 3 Image 0 : time on cross - 0 ms time on image - 0 ms
Set 3 Image 1 : time on cross - 0 ms time on image - 0 ms
Set 3 Image 2 : time on cross - 0 ms time on image - 0 ms
Set 3 Image 3 : time on cross - 0 ms time on image - 0 ms
