Task3 Results

Smoking Cues : avg time on cross - 63.75 ms avg time on image - 153.0 ms
Non Smoking Cues : avg time on cross - 10.625 ms avg time on image - 119.0 ms
Set 0 Image 0 : time on cross - 272 ms time on image - 221 ms
Set 0 Image 1 : time on cross - 0 ms time on image - 170 ms
Set 0 Image 2 : time on cross - 0 ms time on image - 17 ms
Set 0 Image 3 : time on cross - 0 ms time on image - 289 ms
Set 1 Image 0 : time on cross - 238 ms time on image - 136 ms
Set 1 Image 1 : time on cross - 0 ms time on image - 0 ms
Set 1 Image 2 : time on cross - 0 ms time on image - 204 ms
Set 1 Image 3 : time on cross - 85 ms time on image - 51 ms
Set 2 Image 0 : time on cross - 0 ms time on image - 0 ms
Set 2 Image 1 : time on cross - 0 ms time on image - 0 ms
Set 2 Image 2 : time on cross - 0 ms time on image - 51 ms
Set 2 Image 3 : time on cross - 0 ms time on image - 102 ms
Set 3 Image 0 : time on cross - 0 ms time on image - 357 ms
Set 3 Image 1 : time on cross - 0 ms time on image - 340 ms
Set 3 Image 2 : time on cross - 0 ms time on image - 0 ms
Set 3 Image 3 : time on cross - 0 ms time on image - 238 ms
