Task3 Results

Smoking Cues : avg time on cross - 1115.625 ms avg time on image - 182.75 ms
Non Smoking Cues : avg time on cross - 665.125 ms avg time on image - 248.625 ms
Set 0 Image 0 : time on cross - 3978 ms time on image - 34 ms
Set 0 Image 1 : time on cross - 442 ms time on image - 187 ms
Set 0 Image 2 : time on cross - 595 ms time on image - 17 ms
Set 0 Image 3 : time on cross - 629 ms time on image - 442 ms
Set 1 Image 0 : time on cross - 1309 ms time on image - 510 ms
Set 1 Image 1 : time on cross - 833 ms time on image - 102 ms
Set 1 Image 2 : time on cross - 884 ms time on image - 510 ms
Set 1 Image 3 : time on cross - 2312 ms time on image - 289 ms
Set 2 Image 0 : time on cross - 136 ms time on image - 306 ms
Set 2 Image 1 : time on cross - 272 ms time on image - 68 ms
Set 2 Image 2 : time on cross - 17 ms time on image - 34 ms
Set 2 Image 3 : time on cross - 714 ms time on image - 408 ms
Set 3 Image 0 : time on cross - 1955 ms time on image - 238 ms
Set 3 Image 1 : time on cross - 0 ms time on image - 17 ms
Set 3 Image 2 : time on cross - 0 ms time on image - 85 ms
Set 3 Image 3 : time on cross - 170 ms time on image - 204 ms
