Task3 Results

Smoking Cues : avg time on cross - 3948.25 ms avg time on image - 0.0 ms
Non Smoking Cues : avg time on cross - 5146.75 ms avg time on image - 6.375 ms
Set 0 Image 0 : time on cross - 2788 ms time on image - 0 ms
Set 0 Image 1 : time on cross - 3893 ms time on image - 0 ms
Set 0 Image 2 : time on cross - 3961 ms time on image - 0 ms
Set 0 Image 3 : time on cross - 5270 ms time on image - 51 ms
Set 1 Image 0 : time on cross - 2448 ms time on image - 0 ms
Set 1 Image 1 : time on cross - 2890 ms time on image - 0 ms
Set 1 Image 2 : time on cross - 3468 ms time on image - 0 ms
Set 1 Image 3 : time on cross - 4794 ms time on image - 0 ms
Set 2 Image 0 : time on cross - 5134 ms time on image - 0 ms
Set 2 Image 1 : time on cross - 6018 ms time on image - 0 ms
Set 2 Image 2 : time on cross - 5933 ms time on image - 0 ms
Set 2 Image 3 : time on cross - 6018 ms time on image - 0 ms
Set 3 Image 0 : time on cross - 3196 ms time on image - 0 ms
Set 3 Image 1 : time on cross - 5219 ms time on image - 0 ms
Set 3 Image 2 : time on cross - 6018 ms time on image - 0 ms
Set 3 Image 3 : time on cross - 5712 ms time on image - 0 ms
