Task3 Results

Smoking Cues : avg time on cross - 244.375 ms avg time on image - 163.625 ms
Non Smoking Cues : avg time on cross - 51.0 ms avg time on image - 229.5 ms
Set 0 Image 0 : time on cross - 0 ms time on image - 0 ms
Set 0 Image 1 : time on cross - 0 ms time on image - 68 ms
Set 0 Image 2 : time on cross - 34 ms time on image - 272 ms
Set 0 Image 3 : time on cross - 68 ms time on image - 442 ms
Set 1 Image 0 : time on cross - 340 ms time on image - 204 ms
Set 1 Image 1 : time on cross - 272 ms time on image - 493 ms
Set 1 Image 2 : time on cross - 0 ms time on image - 391 ms
Set 1 Image 3 : time on cross - 136 ms time on image - 289 ms
Set 2 Image 0 : time on cross - 0 ms time on image - 51 ms
Set 2 Image 1 : time on cross - 85 ms time on image - 85 ms
Set 2 Image 2 : time on cross - 0 ms time on image - 34 ms
Set 2 Image 3 : time on cross - 0 ms time on image - 0 ms
Set 3 Image 0 : time on cross - 0 ms time on image - 136 ms
Set 3 Image 1 : time on cross - 1258 ms time on image - 272 ms
Set 3 Image 2 : time on cross - 0 ms time on image - 187 ms
Set 3 Image 3 : time on cross - 170 ms time on image - 221 ms
