P01,26911,1139,1972,100.0,28900,0,850,100.0
P02,17493,0,12529,100.0,25772,1190,3043,100.0
S01,28390,0,1632,100.0,17221,1734,11016,100.0
S02,20791,7378,1428,66.6666666667,28662,459,578,100.0
S03,29206,68,748,100.0,28509,0,1513,100.0
S04,26282,2431,1241,100.0,29733,136,102,100.0
S05,18445,11424,0,100.0,27625,0,2057,16.6666666667
S06,27982,663,1377,100.0,25976,17,4029,100.0
S07,24446,1666,3893,100.0,28611,0,1326,100.0
S08,12529,16745,0,100.0,26571,3213,204,66.6666666667
S09,18547,2720,8007,100.0,25687,2108,1394,100.0
S10,23171,442,6137,100.0,20842,170,8806,100.0
S11,9758,19550,527,100.0,23664,5491,680,100.0
S12,29937,85,0,33.3333333333,29478,527,0,100.0
S13,0,30022,0,100.0,0,30022,0,100.0
S14,8364,21522,0,33.3333333333,27319,1326,986,66.6666666667
S15,20689,7939,969,100.0,19193,10489,153,100.0
S16,0,30005,0,100.0,0,30005,0,100.0
S17,17714,8126,4046,100.0,20825,3196,5491,100.0
S18,23834,1292,4777,100.0,22831,4981,1751,100.0
S19,3281,26724,0,33.3333333333,8228,21794,0,100.0
S20,28288,187,1462,100.0,26571,2414,901,100.0
S21,26316,2754,952,100.0,26945,2703,374,83.3333333333
S22,27574,0,2380,100.0,26027,3434,459,100.0
S23,29104,901,0,100.0,29818,0,0,100.0
S24,29937,0,68,50.0,25670,2057,2159,100.0
S25,22372,1258,6392,100.0,26095,238,3689,100.0
S26,28509,0,1411,100.0,28985,0,952,100.0
S27,26792,374,2737,100.0,20791,0,9078,100.0
S28,28696,1156,170,100.0,26928,1190,1904,100.0
